timestamp(ms),GPS[0].Lat,GPS[0].Lng,GPS[0].Alt,GPS[0].Spd,GPS[0].VZ,GPS[0].Yaw,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,ORGN[0].Lat,ORGN[0].Lng,ORGN[0].Alt,XKF1[0].PN,XKF1[0].PE,XKF1[0].PD,XKF1[0].VN,XKF1[0].VE,XKF1[0].VD,XKF1[0].Roll,XKF1[0].Pitch,XKF1[0].Yaw,XKF1[0].GX,XKF1[0].GY,XKF1[0].GZ
548109.967,411007570,290243419,98.3,0.137000009,1.996000051,0,0.881579578,0.08173839,-0.128832087,0.317401767,-0.419090241,-9.645804405,NaN,NaN,NaN,9.30996418,-8.308832169,-24.7031498,-0.053168371,-0.054567605,2.16479516,0.06,1.37,8.57,0,0.01,0
548209.967,411007570,290243419,98.3,0.137000009,1.996000051,0,0.049207598,-0.195772871,-0.253528446,0.478533864,-0.327622026,-9.740128517,NaN,NaN,NaN,9.308027267,-8.319179535,-24.48213959,-0.023674535,-0.037337933,2.164960861,0.2,0.48,6.95,0,0.01,0
548309.967,411007569,290243418,97.88,0.099000007,2.035000086,0,-0.277193189,-0.012737825,-0.361891985,0.618561685,-0.259634137,-9.323916435,NaN,NaN,NaN,9.310829163,-8.32138443,-24.26193619,0.046854384,-0.035531323,2.213116407,-1.1,0.51,5,0,0.01,0
548409.967,411007569,290243418,97.88,0.099000007,2.035000086,0,-0.074244171,-0.115128897,-0.267362982,0.393238693,-0.042592775,-9.506024361,NaN,NaN,NaN,9.318137169,-8.325762749,-24.03500938,0.123874031,-0.037842143,2.214350462,-1.17,0.48,3.25,0,0.01,0
548509.967,411007570,290243418,97.46,0.205000013,2.073000193,0,0.384488016,0.234374464,-0.197090566,0.525338948,-0.042599909,-9.678263664,NaN,NaN,NaN,9.329482079,-8.33310318,-23.80938721,0.170078009,-0.029416,2.171611547,0.51,1.58,2.26,0,0.01,0
548609.967,411007570,290243418,97.46,0.205000013,2.073000193,0,0.373540819,0.242290244,0.027466189,0.770035148,-0.111924723,-10.1344099,NaN,NaN,NaN,9.347038269,-8.334438324,-23.58346367,0.182254478,0.029340055,2.112425327,2.41,2.76,2.26,0,0.01,0
548709.967,411007574,290243421,97.04,0.290000021,1.982000113,0,0.010720083,-0.146471173,0.088313296,0.537717998,-0.281015575,-10.29588223,NaN,NaN,NaN,9.368042946,-8.326836586,-23.36786079,0.224137455,0.096272662,2.01720953,2.13,2.5,2.86,0,0.01,0
548809.967,411007574,290243421,97.04,0.290000021,1.982000113,0,-0.179030642,0.19438155,0.156748876,0.478341967,0.137377143,-11.33487797,NaN,NaN,NaN,9.392424583,-8.311246872,-23.16177559,0.240007326,0.120891668,1.897156715,-0.17,3.88,3.88,0,0.01,0
548909.967,411007578,290243423,96.67,0.198000014,1.73300004,0,-0.31112358,0.211501181,0.190544993,0.581641316,0.017691493,-10.99762821,NaN,NaN,NaN,9.416835785,-8.294179916,-22.97593498,0.223868132,0.110533074,1.762383819,-1.23,5.07,4.8,0,0.01,0
549009.967,411007578,290243423,96.67,0.198000014,1.73300004,0,0.038096812,0.201309472,0.120734185,0.911655426,-0.664658368,-10.72960854,NaN,NaN,NaN,9.416835785,-8.294179916,-22.97593498,0.223868132,0.110533074,1.762383819,-1.23,5.07,4.8,0,0.01,0
549109.967,411007581,290243428,96.36,0.417000026,1.59100008,0,0.845608592,0.334308237,-0.016756905,0.873576701,-0.209651172,-10.59537315,NaN,NaN,NaN,9.439419746,-8.280061722,-22.79813576,0.196369633,0.109430119,1.648240447,1.08,6.58,5.26,0,0.01,0
549209.967,411007581,290243428,96.36,0.417000026,1.59100008,0,0.815453589,0.104132675,-0.034677636,0.722797632,-0.01125202,-10.42797756,NaN,NaN,NaN,9.455807686,-8.265353203,-22.63343811,0.122383818,0.188672766,1.55310905,5.93,8.01,5.37,0,0.01,0
549309.967,411007583,290243436,96.05,0.311000019,1.279000044,0,0.267028093,-0.048939422,-0.080613844,0.946825325,-0.713842094,-10.53567314,NaN,NaN,NaN,9.466189384,-8.231572151,-22.47553825,0.066728584,0.342850357,1.479342461,9.01,7.85,5.09,0,0.01,0
549409.967,411007583,290243436,96.05,0.311000019,1.279000044,0,-0.233613536,0.075872727,-0.060135223,0.891659617,-0.590128303,-10.33580589,NaN,NaN,NaN,9.469060898,-8.177513123,-22.3250103,-0.020297078,0.499059916,1.394794941,8.77,8.17,4.71,0,0.01,0
549509.967,411007581,290243446,95.73,0.588,1.413000107,0,-0.136956766,0.171153203,-0.118666917,0.681557477,-0.097191878,-10.15923023,NaN,NaN,NaN,9.461019516,-8.115343094,-22.18267822,-0.119597882,0.638178468,1.346921563,7.21,8.91,4.15,0,0.01,0
549609.967,411007581,290243446,95.73,0.588,1.413000107,0,-0.007965803,-0.04932392,-0.124904871,0.464539051,-0.214285403,-10.16259956,NaN,NaN,NaN,9.442596436,-8.044816971,-22.0454216,-0.215126529,0.737559795,1.313836575,5.89,9.3,3.35,0,0.01,0
549709.967,411007576,290243461,95.5,0.743000031,1.318000078,0,0.118859254,-0.253485233,-0.139978319,1.019344449,-0.605742514,-10.07393932,NaN,NaN,NaN,9.411314011,-7.970187664,-21.91367531,-0.294903606,0.814958155,1.256764174,6.21,8.5,2.43,0,0.01,0
549809.967,411007576,290243461,95.5,0.743000031,1.318000078,0,0.174290985,-0.239487991,-0.096969992,0.74106133,-0.236383408,-9.879532814,NaN,NaN,NaN,9.372635841,-7.888159752,-21.79376793,-0.348363042,0.910092771,1.23914361,6.81,7.19,1.58,0,0.01,0
549909.967,411007570,290243481,95.28,1.078000069,1.140000105,0,0.002420501,-0.082723595,-0.040451158,0.69488728,-0.233202934,-9.739233017,NaN,NaN,NaN,9.333044052,-7.798203468,-21.67718315,-0.405003428,1.024555683,1.211338043,6.86,6.34,1.05,0,0.01,0
550009.967,411007570,290243481,95.28,1.078000069,1.140000105,0,0.032616653,-0.084683158,-0.041941818,1.079319954,-0.706323028,-9.666853905,NaN,NaN,NaN,9.293190002,-7.69981432,-21.57061958,-0.419195652,1.110518217,1.203671098,6.86,6.29,0.76,0,0.01,0
